hospital_name,city,state,county_name,hospital_overall_rating
ABRAHAM LINCOLN MEMORIAL HOSPITAL,LINCOLN,Illinois,Logan,4.0
KINGS COUNTY HOSPITAL CENTER,BROOKLYN,New York,Kings,1.0
MEDINA REGIONAL HOSPITAL,HONDO,Texas,Medina,3.0
JANE TODD CRAWFORD HOSPITAL,GREENSBURG,Kentucky,Green,3.0
ALHAMBRA HOSPITAL MEDICAL CENTER,ALHAMBRA,California,Los angeles,4.0
NORTH HAWAII COMMUNITY HOSPITAL,KAMUELA,Hawaii,Hawaii,4.0
MARSHALL MEDICAL CENTERS,BOAZ,Alabama,Marshall,2.0
LAKE GRANBURY MEDICAL CENTER,GRANBURY,Texas,Hood,4.0
UNITYPOINT HEALTH - KEOKUK,KEOKUK,Iowa,Lee,4.0
HOLY FAMILY MEMORIAL,MANITOWOC,Wisconsin,Manitowoc,3.0
ST. ALPHONSUS MEDICAL CENTER - BAKER CITY,BAKER CITY,Oregon,Baker,4.0
CLINTON MEMORIAL HOSPITAL,WILMINGTON,Ohio,Clinton,1.0
GRADY GENERAL HOSPITAL,CAIRO,Georgia,Grady,3.0
SENTARA CAREPLEX HOSPITAL,HAMPTON,Virginia,Hampton city,3.0
GREATER REGIONAL MEDICAL CENTER,CRESTON,Iowa,Union,4.0
SYRINGA GENERAL HOSPITAL,GRANGEVILLE,Idaho,Idaho,2.0
EAST LIVERPOOL CITY HOSPITAL,EAST LIVERPOOL,Ohio,Columbiana,4.0
BAYFRONT HEALTH - ST PETERSBURG,SAINT PETERSBURG,Florida,Pinellas,2.0
LAFOLLETTE MEDICAL CENTER,LA FOLLETTE,Tennessee,Campbell,2.0
SAMARITAN HOSPITAL,TROY,New York,Rensselaer,2.0
"JOHNS HOPKINS HOSPITAL, THE",BALTIMORE,Maryland,Baltimore city,3.0
"WASHINGTON HOSPITAL, THE",WASHINGTON,Pennsylvania,Washington,4.0
INDIANA UNIVERSITY HEALTH NORTH HOSPITAL,CARMEL,Indiana,Hamilton,5.0
SUTTER DAVIS HOSPITAL,DAVIS,California,Yolo,5.0
AVERA QUEEN OF PEACE,MITCHELL,South Dakota,Davison,5.0
EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,GLENDORA,California,Los angeles,3.0
GROSSMONT HOSPITAL,LA MESA,California,San diego,2.0
THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,GREENVILLE,Alabama,Butler,2.0
HEART OF AMERICA MEDICAL CENTER,RUGBY,North Dakota,Pierce,4.0
NEW LIBERTY HOSPITAL DISTRICT,LIBERTY,Missouri,Clay,3.0
DUKE REGIONAL HOSPITAL,DURHAM,North Carolina,Durham,5.0
STURDY MEMORIAL HOSPITAL,ATTLEBORO,Massachusetts,Bristol,1.0
JEFFERSON COUNTY HEALTH CENTER,FAIRFIELD,Iowa,Jefferson,3.0
NYACK HOSPITAL,NYACK,New York,Rockland,2.0
BAPTIST BEAUMONT HOSPITAL,BEAUMONT,Texas,Jefferson,2.0
SOUTH CENTRAL REG MED CTR,LAUREL,Mississippi,Jones,2.0
ABBEVILLE GENERAL HOSPITAL,ABBEVILLE,Louisiana,Vermilion,4.0
BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE,WAXAHACHIE,Texas,Ellis,5.0
OHIOHEALTH O'BLENESS HOSPITAL,ATHENS,Ohio,Athens,3.0
HARRISON COUNTY HOSPITAL,CORYDON,Indiana,Harrison,3.0
FREEMAN NEOSHO HOSPITAL,NEOSHO,Missouri,Newton,3.0
CAROLINAS MEDICAL CENTER-PINEVILLE,CHARLOTTE,North Carolina,Mecklenburg,3.0
BAYLOR SCOTT & WHITE MEDICAL CENTER- COLLEGE STATI,COLLEGE STATION,Texas,Brazos,4.0
SAINT JOSEPH LONDON,LONDON,Kentucky,Laurel,4.0
"THE OUTER BANKS HOSPITAL, INC",NAGS HEAD,North Carolina,Dare,4.0
SUMMERLIN HOSPITAL MEDICAL CENTER,LAS VEGAS,Nevada,Clark,1.0
SUTTER AMADOR HOSPITAL,JACKSON,California,Amador,4.0
PIEDMONT WALTON HOSPITAL,MONROE,Georgia,Walton,1.0
CHI HEALTH MERCY COUNCIL BLUFFS,COUNCIL BLUFFS,Iowa,Pottawattamie,5.0
SCHUYLKILL MEDICAL CENTER - SOUTH JACKSON STREET,POTTSVILLE,Pennsylvania,Schuylkill,2.0
MOUNT SINAI HOSPITAL,NEW YORK,New York,New york,4.0
BYRD REGIONAL HOSPITAL,LEESVILLE,Louisiana,Vernon,2.0
GERALD CHAMPION REGIONAL MEDICAL CENTER,ALAMOGORDO,New Mexico,Otero,3.0
AUGUSTA HEALTH,FISHERSVILLE,Virginia,Augusta,4.0
ADENA REGIONAL MEDICAL CENTER,CHILLICOTHE,Ohio,Ross,4.0
ST ANTHONY COMMUNITY HOSPITAL,WARWICK,New York,Orange,3.0
HUGGINS HOSPITAL,WOLFEBORO,New Hampshire,Carroll,5.0
ARKANSAS METHODIST MEDICAL CENTER,PARAGOULD,Arkansas,Greene,2.0
UNIVERSITY OF CALIFORNIA IRVINE MED CENTER,ORANGE,California,Orange,3.0
DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,Alabama,De kalb,2.0
U S M D HOSPITAL AT ARLINGTON L P,ARLINGTON,Texas,Tarrant,3.0
CENTRAL FLORIDA REGIONAL HOSPITAL,SANFORD,Florida,Seminole,2.0
HELENA REGIONAL MEDICAL CENTER,HELENA,Arkansas,Phillips,2.0
SAMARITAN NORTH LINCOLN HOSPITAL,LINCOLN CITY,Oregon,Lincoln,4.0
MINISTRY EAGLE RIVER MEMORIAL HOSPITAL,EAGLE RIVER,Wisconsin,Vilas,5.0
JEFFERSON HEALTHCARE,PORT TOWNSEND,Washington,Jefferson,5.0
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",BESSEMER,Alabama,Jefferson,3.0
SIERRA NEVADA MEMORIAL HOSPITAL,GRASS VALLEY,California,Nevada,2.0
RIVERSIDE METHODIST HOSPITAL,COLUMBUS,Ohio,Franklin,4.0
REGIONAL HEALTH SPEARFISH HOSPITAL,SPEARFISH,South Dakota,Lawrence,4.0
STEWARD SEBASTIAN RIVER MEDICAL CENTER,SEBASTIAN,Florida,Indian river,2.0
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,California,Alameda,5.0
BON SECOURS RICHMOND COMMUNITY HOSPITAL,RICHMOND,Virginia,Richmond city,4.0
TENNOVA HEALTHCARE-HARTON,TULLAHOMA,Tennessee,Coffee,2.0
SALEM REGIONAL MEDICAL CENTER,SALEM,Ohio,Columbiana,4.0
MEMORIAL HEALTH CARE SYSTEMS,SEWARD,Nebraska,Seward,3.0
LEWIS COUNTY GENERAL HOSPITAL,LOWVILLE,New York,Lewis,3.0
MOUNT AUBURN HOSPITAL,CAMBRIDGE,Massachusetts,Middlesex,4.0
MEDINA MEMORIAL HOSPITAL,MEDINA,New York,Orleans,3.0
PEACEHEALTH ST JOHN MEDICAL CENTER,LONGVIEW,Washington,Cowlitz,3.0
TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN,ALLEN,Texas,Collin,4.0
BAPTIST MEDICAL CENTER,SAN ANTONIO,Texas,Bexar,4.0
STONE COUNTY MEDICAL CENTER,MOUNTAIN VIEW,Arkansas,Stone,4.0
MEMORIALCARE SADDLEBACK MEDICAL CENTER,LAGUNA HILLS,California,Orange,4.0
ASHTABULA COUNTY MEDICAL CENTER,ASHTABULA,Ohio,Ashtabula,2.0
BURGESS HEALTH CENTER,ONAWA,Iowa,Monona,4.0
MERIT HEALTH RIVER REGION,VICKSBURG,Mississippi,Warren,1.0
CARILION FRANKLIN MEMORIAL HOSPITAL,ROCKY MOUNT,Virginia,Franklin,3.0
MUSCOGEE (CREEK) NATION MEDICAL CENTER,OKMULGEE,Oklahoma,Okmulgee,3.0
SAN RAMON REGIONAL MEDICAL CENTER,SAN RAMON,California,Contra costa,3.0
MANCHESTER MEMORIAL HOSPITAL,MANCHESTER,Connecticut,Hartford,2.0
MAIN LINE HOSPITAL LANKENAU,WYNNEWOOD,Pennsylvania,Montgomery,4.0
F F THOMPSON HOSPITAL,CANANDAIGUA,New York,Ontario,3.0
HOUSTON METHODIST HOSPITAL,HOUSTON,Texas,Harris,5.0
MERCY HOSPITAL OF BUFFALO,BUFFALO,New York,Erie,2.0
DESOTO MEMORIAL HOSPITAL,ARCADIA,Florida,De soto,3.0
BAY AREA HOSPITAL,COOS BAY,Oregon,Coos,3.0
SWEDISH COVENANT HOSPITAL,CHICAGO,Illinois,Cook,3.0
MEDICAL CITY DALLAS HOSPITAL,DALLAS,Texas,Dallas,5.0
MID VALLEY HOSPITAL,OMAK,Washington,Okanogan,3.0
MERCY HEALTH - FAIRFIELD HOSPITAL,FAIRFIELD,Ohio,Butler,3.0
STRAUB CLINIC AND HOSPITAL,HONOLULU,Hawaii,Honolulu,5.0
BEAUMONT HOSPITAL - TAYLOR,TAYLOR,Michigan,Wayne,3.0
ANNE ARUNDEL MEDICAL CENTER,ANNAPOLIS,Maryland,Anne arundel,5.0
ARKANSAS VALLEY REGIONAL MEDICAL CENTER,LA JUNTA,Colorado,Otero,2.0
PECONIC BAY MEDICAL CENTER,RIVERHEAD,New York,Suffolk,3.0
CENTRAL MAINE MEDICAL CENTER,LEWISTON,Maine,Androscoggin,2.0
MINNIE HAMILTON HEALTH SYSTEM,GRANTSVILLE,West Virginia,Calhoun,3.0
PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER,CHICAGO,Illinois,Cook,5.0
AURORA ST LUKES MEDICAL CENTER,MILWAUKEE,Wisconsin,Milwaukee,3.0
LONGVIEW REGIONAL MEDICAL CENTER,LONGVIEW,Texas,Gregg,2.0
SAINT FRANCIS MEMORIAL HOSPITAL,SAN FRANCISCO,California,San francisco,3.0
RIDDLE MEMORIAL HOSPITAL,MEDIA,Pennsylvania,Delaware,3.0
OCONOMOWOC MEMORIAL HOSPITAL,OCONOMOWOC,Wisconsin,Waukesha,4.0
GOSHEN HOSPITAL,GOSHEN,Indiana,Elkhart,3.0
BAPTIST HEALTH LOUISVILLE,LOUISVILLE,Kentucky,Jefferson,3.0
CASS COUNTY MEMORIAL HOSPITAL,ATLANTIC,Iowa,Cass,4.0
CHAMBERS MEMORIAL HOSPITAL,DANVILLE,Arkansas,Yell,3.0
WOODLAND MEMORIAL HOSPITAL,WOODLAND,California,Yolo,2.0
RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,Illinois,Cook,5.0
HENRY MAYO NEWHALL  HOSPITAL,VALENCIA,California,Los angeles,3.0
"ST JOHN BROKEN ARROW, INC",BROKEN ARROW,Oklahoma,Tulsa,5.0
SOUTHCOAST HOSPITALS GROUP,FALL RIVER,Massachusetts,Bristol,2.0
HILLSDALE HOSPITAL,HILLSDALE,Michigan,Hillsdale,3.0
CHRISTUS ST MICHAEL HEALTH SYSTEM,TEXARKANA,Texas,Bowie,3.0
SAINT JOSEPH MERCY LIVINGSTON HOSPITAL,HOWELL,Michigan,Livingston,5.0
VIRTUA WILLINGBORO HOSPITAL,WILLINGBORO,New Jersey,Burlington,2.0
INOVA MOUNT VERNON HOSPITAL,ALEXANDRIA,Virginia,Fairfax,5.0
YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,Alaska,Bethel,3.0
JOHN D ARCHBOLD MEMORIAL HOSPITAL,THOMASVILLE,Georgia,Thomas,4.0
UPMC SUSQUEHANNA MUNCY,MUNCY,Pennsylvania,Lycoming,4.0
MCPHERSON HOSPITAL,MCPHERSON,Kansas,Mcpherson,4.0
METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL,OLIVE BRANCH,Mississippi,De soto,4.0
ERLANGER MEDICAL CENTER,CHATTANOOGA,Tennessee,Hamilton,2.0
ST JAMES HEALTHCARE,BUTTE,Montana,Silver bow,4.0
CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL,LOUISVILLE,Colorado,Boulder,4.0
ST CLAIRE REGIONAL MEDICAL CENTER,MOREHEAD,Kentucky,Rowan,2.0
SCHEURER HOSPITAL,PIGEON,Michigan,Huron,5.0
JACKSON PARISH HOSPITAL,JONESBORO,Louisiana,Jackson,3.0
AULTMAN HOSPITAL,CANTON,Ohio,Stark,3.0
SELF REGIONAL HEALTHCARE,GREENWOOD,South Carolina,Greenwood,3.0
NEWPORT COMMUNITY HOSPITAL,NEWPORT,Washington,Pend oreille,4.0
MOREHOUSE GENERAL HOSPITAL,BASTROP,Louisiana,Morehouse,2.0
CHI HEALTH  - MERCY CORNING,CORNING,Iowa,Adams,4.0
ST VINCENT HOSPITAL,GREEN BAY,Wisconsin,Brown,4.0
CAPE FEAR VALLEY HOKE HOSPITAL,RAEFORD,North Carolina,Hoke,4.0
SHENANDOAH MEMORIAL HOSPITAL,WOODSTOCK,Virginia,Shenandoah,4.0
PHOEBE PUTNEY MEMORIAL HOSPITAL,ALBANY,Georgia,Dougherty,1.0
SOUTHWEST MEDICAL CENTER,LIBERAL,Kansas,Seward,2.0
NORWALK HOSPITAL,NORWALK,Connecticut,Fairfield,2.0
INSPIRA MEDICAL CENTER VINELAND,VINELAND,New Jersey,Cumberland,1.0
ELBERT MEMORIAL HOSPITAL,ELBERTON,Georgia,Elbert,3.0
SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA,CENTRALIA,Illinois,Marion,5.0
FAIRVIEW LAKES HEALTH SERVICES,WYOMING,Minnesota,Chisago,4.0
REEDSBURG AREA MEDICAL CENTER,REEDSBURG,Wisconsin,Sauk,3.0
TEXAS COUNTY MEMORIAL HOSPITAL,HOUSTON,Missouri,Texas,2.0
MON HEALTH MEDICAL CENTER,MORGANTOWN,West Virginia,Monongalia,4.0
CLAY COUNTY MEDICAL CORPORATION,WEST POINT,Mississippi,Clay,3.0
KAISER FOUNDATION HOSPITAL - WALNUT CREEK,WALNUT CREEK,California,Contra costa,3.0
SSM HEALTH ST ANTHONY HOSPITAL - SHAWNEE,SHAWNEE,Oklahoma,Pottawatomie,3.0
MISSOURI BAPTIST MEDICAL CENTER,TOWN AND COUNTRY,Missouri,St. louis,4.0
BON SECOURS ST FRANCIS MEDICAL CENTER,MIDLOTHIAN,Virginia,Chesterfield,3.0
"NORTON HOSPITALS, INC",LOUISVILLE,Kentucky,Jefferson,3.0
HUTCHINSON REGIONAL MEDICAL CENTER INC,HUTCHINSON,Kansas,Reno,2.0
TALLAHASSEE MEMORIAL HEALTHCARE,TALLAHASSEE,Florida,Leon,2.0
HOSPITAL FOR SPECIAL SURGERY,NEW YORK,New York,New york,5.0
LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,FORT PIERCE,Florida,St. lucie,1.0
KOOTENAI HEALTH,COEUR D'ALENE,Idaho,Kootenai,4.0
ADVENTHEALTH SEBRING,SEBRING,Florida,Highlands,4.0
"MEMORIAL HOSPITAL, THE",CRAIG,Colorado,Moffat,3.0
"COFFEE REGIONAL MEDICAL CENTER, INC",DOUGLAS,Georgia,Coffee,1.0
SOUTH SUNFLOWER COUNTY HOSPITAL,INDIANOLA,Mississippi,Sunflower,2.0
OHSU HOSPITAL AND CLINICS,PORTLAND,Oregon,Multnomah,5.0
MAYO CLINIC HOSPITAL ROCHESTER,ROCHESTER,Minnesota,Olmsted,5.0
STILLWATER MEDICAL-BLACKWELL,BLACKWELL,Oklahoma,Kay,3.0
MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,WASHINGTON,District of Columbia,The district,1.0
RIVERSIDE MEDICAL CENTER,KANKAKEE,Illinois,Kankakee,3.0
EASTERN REGIONAL MEDICAL CENTER,PHILADELPHIA,Pennsylvania,Philadelphia,4.0
UPMC PRESBYTERIAN SHADYSIDE,PITTSBURGH,Pennsylvania,Allegheny,2.0
TUFTS MEDICAL CENTER,BOSTON,Massachusetts,Suffolk,2.0
WATERBURY HOSPITAL,WATERBURY,Connecticut,New haven,1.0
HAMILTON MEDICAL CENTER,DALTON,Georgia,Whitfield,4.0
FAWCETT MEMORIAL HOSPITAL,PORT CHARLOTTE,Florida,Charlotte,2.0
PERHAM HEALTH,PERHAM,Minnesota,Otter tail,5.0
IU HEALTH WEST HOSPITAL,AVON,Indiana,Hendricks,5.0
DELTA REGIONAL MEDICAL CENTER,GREENVILLE,Mississippi,Washington,1.0
COQUILLE VALLEY HOSPITAL DISTRICT,COQUILLE,Oregon,Coos,4.0
ST JOSEPH MEDICAL CENTER,HOUSTON,Texas,Harris,3.0
STONESPRINGS HOSPITAL CENTER,DULLES,Virginia,Loudoun,4.0
SILVER CROSS HOSPITAL  AND MEDICAL CENTERS,NEW LENOX,Illinois,Will,4.0
BONNER GENERAL HOSPITAL,SANDPOINT,Idaho,Bonner,4.0
BAYLOR SCOTT & WHITE ALL SAINTS MEDICAL CENTER FORT WORTH,FORT WORTH,Texas,Tarrant,4.0
ST JOSEPH HOSPITAL,EUREKA,California,Humboldt,2.0
WELLSTAR DOUGLAS HOSPITAL,DOUGLASVILLE,Georgia,Douglas,4.0
LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS,HIALEAH,Florida,Miami-dade,2.0
SUTTER SOLANO MEDICAL CENTER,VALLEJO,California,Solano,2.0
SWEDISH ISSAQUAH,ISSAQUAH,Washington,King,5.0
BERKELEY MEDICAL CENTER,MARTINSBURG,West Virginia,Berkeley,4.0
FLOWERS HOSPITAL,DOTHAN,Alabama,Houston,3.0
WASHINGTON COUNTY HOSPITAL AND CLINICS,WASHINGTON,Iowa,Washington,4.0
CALAIS REGIONAL HOSPITAL,CALAIS,Maine,Washington,3.0
ATHENS LIMESTONE HOSPITAL,ATHENS,Alabama,Limestone,3.0
SAINT ALPHONSUS REGIONAL MEDICAL CENTER,BOISE,Idaho,Ada,4.0
MERITUS MEDICAL CENTER,HAGERSTOWN,Maryland,Washington,3.0
WESTERN ARIZONA REGIONAL MEDICAL CENTER,BULLHEAD CITY,Arizona,Mohave,2.0
CAPE REGIONAL MEDICAL CENTER INC,CAPE MAY COURT HOUSE,New Jersey,Cape may,3.0
"ST. MARY'S HEALTH, INC.",EVANSVILLE,Indiana,Vanderburgh,4.0
MENORAH MEDICAL CENTER,OVERLAND PARK,Kansas,Johnson,3.0
MONTEREY PARK HOSPITAL,MONTEREY PARK,California,Los angeles,2.0
ST MARY MEDICAL CENTER,LONG BEACH,California,Los angeles,2.0
FAYETTE REGIONAL HEALTH SYSTEM,CONNERSVILLE,Indiana,Fayette,4.0
MERCY HEALTH - DEFIANCE HOSPITAL,DEFIANCE,Ohio,Defiance,4.0
BROOKWOOD BAPTIST MEDICAL CENTER,BIRMINGHAM,Alabama,Jefferson,3.0
STONES RIVER HOSPITAL,WOODBURY,Tennessee,Cannon,4.0
SAN LUKE'S MEMORIAL HOSPITAL INC,PONCE,Puerto Rico,Ponce,2.0
HILL COUNTRY MEMORIAL HOSPITAL INC,FREDERICKSBURG,Texas,Gillespie,5.0
DOYLESTOWN HOSPITAL,DOYLESTOWN,Pennsylvania,Bucks,4.0
CONTRA COSTA REGIONAL MEDICAL CENTER,MARTINEZ,California,Contra costa,3.0
JFK MEDICAL CENTER,EDISON,New Jersey,Middlesex,1.0
"ROME MEMORIAL HOSPITAL, INC",ROME,New York,Oneida,2.0
GARDEN GROVE HOSPITAL & MEDICAL CENTER,GARDEN GROVE,California,Orange,3.0
"PARKVIEW MEDICAL CENTER, INC",PUEBLO,Colorado,Pueblo,3.0
GEISINGER-COMMUNITY MEDICAL CENTER,SCRANTON,Pennsylvania,Lackawanna,3.0
LOGAN REGIONAL HOSPITAL,LOGAN,Utah,Cache,5.0
TEXAS HEALTH PRESBYTERIAN HOSPITAL DALLAS,DALLAS,Texas,Dallas,5.0
MISSISSIPPI BAPTIST MEDICAL CENTER,JACKSON,Mississippi,Hinds,4.0
NEWARK-WAYNE COMMUNITY HOSPITAL,NEWARK,New York,Wayne,2.0
STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,California,Alameda,5.0
CHI ST LUKE'S HEALTH BAYLOR COLLEGE OF MEDICINE ME,HOUSTON,Texas,Harris,4.0
MIMBRES MEMORIAL HOSPITAL,DEMING,New Mexico,Luna,2.0
JEFFERSON MEDICAL CENTER,RANSON,West Virginia,Jefferson,4.0
SOUTH MISSISSIPPI COUNTY REGIONAL MEDICAL CENTER,OSCEOLA,Arkansas,Mississippi,4.0
HAWKINS COUNTY MEMORIAL HOSPITAL,ROGERSVILLE,Tennessee,Hawkins,4.0
MIDDLESEX HOSPITAL,MIDDLETOWN,Connecticut,Middlesex,3.0
GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,Alabama,Etowah,2.0
UNITYPOINT HEALTH - DES MOINES IOWA METHODIST MEDI,DES MOINES,Iowa,Polk,3.0
HOLY CROSS HOSPITAL,SILVER SPRING,Maryland,Montgomery,2.0
GENESIS HLTH SYSTEM DBA GENESIS MDL CTR-ILLINI,SILVIS,Illinois,Rock island,2.0
SCOTTSDALE OSBORN MEDICAL CENTER,SCOTTSDALE,Arizona,Maricopa,3.0
OCHSNER MEDICAL CENTER-KENNER,KENNER,Louisiana,Jefferson,4.0
ABRAZO WEST CAMPUS,GOODYEAR,Arizona,Maricopa,2.0
COLUMBIA ST MARYS HOSPITAL OZAUKEE,MEQUON,Wisconsin,Ozaukee,4.0
CONCORD HOSPITAL,CONCORD,New Hampshire,Merrimack,4.0
BEEBE MEDICAL CENTER,LEWES,Delaware,Sussex,4.0
MOUNT DESERT ISLAND HOSPITAL,BAR HARBOR,Maine,Hancock,4.0
HARLEM HOSPITAL CENTER,NEW YORK,New York,New york,1.0
NORTH COUNTRY HOSPITAL AND HEALTH CENTER,NEWPORT,Vermont,Orleans,3.0
CHEROKEE MEDICAL CENTER,GAFFNEY,South Carolina,Cherokee,3.0
SWISHER MEMORIAL HOSPITAL,TULIA,Texas,Swisher,3.0
EATON RAPIDS MEDICAL CENTER,EATON RAPIDS,Michigan,Eaton,4.0
WIREGRASS MEDICAL CENTER,GENEVA,Alabama,Geneva,4.0
FIRELANDS REGIONAL MEDICAL CENTER,SANDUSKY,Ohio,Erie,4.0
RUTHERFORD REGIONAL MEDICAL CENTER,RUTHERFORDTON,North Carolina,Rutherford,3.0
ST LUKE'S ELMORE MEDICAL CENTER,MOUNTAIN HOME,Idaho,Elmore,3.0
CITIZENS MEDICAL CENTER,COLUMBIA,Louisiana,Caldwell,2.0
ELLWOOD CITY MEDICAL CENTER,ELLWOOD CITY,Pennsylvania,Lawrence,3.0
UPMC SUSQUEHANNA SOLDIERS & SAILORS,WELLSBORO,Pennsylvania,Tioga,4.0
ST ELIZABETH FLORENCE,FLORENCE,Kentucky,Boone,3.0
SULLIVAN COUNTY COMMUNITY HOSPITAL,SULLIVAN,Indiana,Sullivan,3.0
ST CATHERINE OF SIENA HOSPITAL,SMITHTOWN,New York,Suffolk,1.0
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,LAS VEGAS,Nevada,Clark,2.0
VALLEY WEST COMMUNITY HOSPITAL,SANDWICH,Illinois,De kalb,5.0
ARIA HEALTH,PHILADELPHIA,Pennsylvania,Philadelphia,2.0
MAYO CLINIC FLORIDA,JACKSONVILLE,Florida,Duval,5.0
CHSLI ST JOSEPH HOSPITAL,BETHPAGE,New York,Nassau,2.0
COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA,VENTURA,California,Ventura,3.0
MONTEFIORE MEDICAL CENTER,BRONX,New York,Bronx,1.0
WAYNESBORO HOSPITAL,WAYNESBORO,Pennsylvania,Franklin,5.0
ABBOTT NORTHWESTERN HOSPITAL,MINNEAPOLIS,Minnesota,Hennepin,4.0
TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL,JEFFERSON CITY,Tennessee,Jefferson,4.0
ORANGE REGIONAL MEDICAL CENTER,MIDDLETOWN,New York,Orange,4.0
FAIRVIEW NORTHLAND REGIONAL HOSPITAL,PRINCETON,Minnesota,Mille lacs,5.0
"LIVINGSTON HOSPITAL AND HEALTHCARE SERVICES, INC",SALEM,Kentucky,Livingston,3.0
ST VINCENT HOT SPRINGS,HOT SPRINGS,Arkansas,Garland,3.0
NORTH SHORE MEDICAL CENTER,MIAMI,Florida,Miami-dade,1.0
SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM PULASKI,PULASKI,Tennessee,Giles,4.0
RAY COUNTY MEMORIAL HOSPITAL,RICHMOND,Missouri,Ray,4.0
OLYMPIA MEDICAL CENTER,LOS ANGELES,California,Los angeles,2.0
ADVENTIST HEALTH BAKERSFIELD,BAKERSFIELD,California,Kern,2.0
HIGHLANDS HOSPITAL,CONNELLSVILLE,Pennsylvania,Fayette,3.0
WHITE RIVER MEDICAL CENTER,BATESVILLE,Arkansas,Independence,4.0
RESOLUTE HEALTH HOSPITAL,NEW BRAUNFELS,Texas,Comal,4.0
SCOTT COUNTY HOSPITAL,SCOTT CITY,Kansas,Scott,4.0
CAYUGA MEDICAL CENTER AT ITHACA,ITHACA,New York,Tompkins,2.0
TRINITY REGIONAL MEDICAL CENTER,FORT DODGE,Iowa,Webster,3.0
UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,BEACHWOOD,Ohio,Cuyahoga,5.0
BANNER PAYSON MEDICAL CENTER,PAYSON,Arizona,Gila,4.0
UNIVERSITY OF VIRGINIA MEDICAL CENTER,CHARLOTTESVILLE,Virginia,Charlottesville city,2.0
ADVENTIST HEALTH HANFORD,HANFORD,California,Kings,2.0
CENTRAL DUPAGE HOSPITAL,WINFIELD,Illinois,Du page,4.0
LAWRENCE COUNTY HOSPITAL CAH,MONTICELLO,Mississippi,Lawrence,3.0
MCLEOD HEALTH CHERAW,CHERAW,South Carolina,Chesterfield,2.0
JACKSON MEDICAL CENTER,JACKSON,Alabama,Clarke,2.0
MERCY HOSPITAL ST LOUIS,SAINT LOUIS,Missouri,St. louis,5.0
FOUNDATION SURGICAL HOSPITAL OF EL PASO,EL PASO,Texas,El paso,5.0
SAINT JOSEPH EAST,LEXINGTON,Kentucky,Fayette,4.0
SUTTER LAKESIDE HOSPITAL,LAKEPORT,California,Lake,4.0
CHRISTUS SPOHN HOSPITAL ALICE,ALICE,Texas,Jim wells,4.0
SANFORD MEDICAL CENTER WORTHINGTON,WORTHINGTON,Minnesota,Nobles,4.0
RIVERWOOD HEALTHCARE CENTER,AITKIN,Minnesota,Aitkin,5.0
"NORTH OAKS MEDICAL CENTER, L L C",HAMMOND,Louisiana,Tangipahoa,2.0
MERIT HEALTH BILOXI,BILOXI,Mississippi,Harrison,2.0
IRA DAVENPORT MEMORIAL HOSPITAL,BATH,New York,Steuben,4.0
BAYFRONT HEALTH PORT CHARLOTTE,PORT CHARLOTTE,Florida,Charlotte,1.0
MEMORIAL REGIONAL HOSPITAL,HOLLYWOOD,Florida,Broward,4.0
MERCY HOSPITAL JOPLIN,JOPLIN,Missouri,Jasper,3.0
PERRY COUNTY MEMORIAL HOSPITAL,TELL CITY,Indiana,Perry,2.0
"BEAUMONT HOSPITAL, ROYAL OAK",ROYAL OAK,Michigan,Oakland,3.0
COLLETON MEDICAL CENTER,WALTERBORO,South Carolina,Colleton,3.0
HAZEL HAWKINS MEMORIAL HOSPITAL,HOLLISTER,California,San benito,2.0
SUMMIT PACIFIC MEDICAL CENTER-SWING BED UNIT,ELMA,Washington,Grays harbor,3.0
PROVIDENCE REGIONAL MEDICAL CENTER EVERETT,EVERETT,Washington,Snohomish,2.0
JEFFERSON STRATFORD HOSPITAL,STRATFORD,New Jersey,Camden,2.0
HILLCREST HOSPITAL SOUTH,TULSA,Oklahoma,Tulsa,2.0
GRANT REGIONAL HEALTH CENTER,LANCASTER,Wisconsin,Grant,4.0
